pre_date,pre_ch,current_date,project_id,interval
2022-07-25 14:00:00,714.0458,2022-08-18 20:30:50,0,1H
2022-07-25 15:00:00,557.43835,2022-08-18 20:30:50,0,1H
2022-07-25 16:00:00,565.4732,2022-08-18 20:30:50,0,1H
2022-07-25 17:00:00,366.72745,2022-08-18 20:30:50,0,1H
2022-07-26 07:00:00,610.87585,2022-08-18 20:30:50,0,1H
2022-07-26 08:00:00,545.53723,2022-08-18 20:30:50,0,1H
2022-07-26 09:00:00,551.9249,2022-08-18 20:30:50,0,1H
2022-07-26 10:00:00,690.59894,2022-08-18 20:30:50,0,1H
2022-07-26 11:00:00,567.5602,2022-08-18 20:30:50,0,1H
2022-07-26 12:00:00,559.55084,2022-08-18 20:30:50,0,1H
2022-07-26 13:00:00,547.9212,2022-08-18 20:30:50,0,1H
2022-07-26 14:00:00,559.6688,2022-08-18 20:30:50,0,1H
2022-07-26 15:00:00,556.39276,2022-08-18 20:30:50,0,1H
2022-07-26 16:00:00,553.927,2022-08-18 20:30:50,0,1H
2022-07-26 17:00:00,342.99588,2022-08-18 20:30:50,0,1H
2022-07-27 07:00:00,569.39636,2022-08-18 20:30:50,0,1H
2022-07-27 08:00:00,566.66113,2022-08-18 20:30:50,0,1H
2022-07-27 09:00:00,538.70557,2022-08-18 20:30:50,0,1H
2022-07-27 10:00:00,537.224,2022-08-18 20:30:50,0,1H
2022-07-27 11:00:00,788.99963,2022-08-18 20:30:50,0,1H
2022-07-27 12:00:00,565.94403,2022-08-18 20:30:50,0,1H
2022-07-27 13:00:00,555.0995,2022-08-18 20:30:50,0,1H
2022-07-27 14:00:00,535.6882,2022-08-18 20:30:50,0,1H
2022-07-27 15:00:00,551.93933,2022-08-18 20:30:50,0,1H
2022-07-27 16:00:00,752.1152,2022-08-18 20:30:50,0,1H
2022-07-27 17:00:00,444.13614,2022-08-18 20:30:50,0,1H
2022-07-28 07:00:00,381.9065,2022-08-18 20:30:50,0,1H
2022-07-28 08:00:00,754.7102,2022-08-18 20:30:50,0,1H
2022-07-28 09:00:00,473.99948,2022-08-18 20:30:50,0,1H
2022-07-28 10:00:00,349.9134,2022-08-18 20:30:50,0,1H
2022-07-28 11:00:00,340.1462,2022-08-18 20:30:50,0,1H
2022-07-28 12:00:00,359.09897,2022-08-18 20:30:50,0,1H
2022-07-28 13:00:00,356.3679,2022-08-18 20:30:50,0,1H
2022-07-28 14:00:00,498.11945,2022-08-18 20:30:50,0,1H
2022-07-28 15:00:00,534.77893,2022-08-18 20:30:50,0,1H
2022-07-28 16:00:00,502.21597,2022-08-18 20:30:50,0,1H
2022-07-28 17:00:00,371.63608,2022-08-18 20:30:50,0,1H
2022-07-29 07:00:00,555.08295,2022-08-18 20:30:50,0,1H
2022-07-29 08:00:00,556.8731,2022-08-18 20:30:50,0,1H
2022-07-29 09:00:00,612.39984,2022-08-18 20:30:50,0,1H
2022-07-29 10:00:00,545.01385,2022-08-18 20:30:50,0,1H
2022-07-29 11:00:00,514.4427,2022-08-18 20:30:50,0,1H
2022-07-29 12:00:00,562.07794,2022-08-18 20:30:50,0,1H
2022-07-29 13:00:00,542.33185,2022-08-18 20:30:50,0,1H
2022-07-29 14:00:00,542.33185,2022-08-18 20:30:50,0,1H
2022-07-29 15:00:00,542.33185,2022-08-18 20:30:50,0,1H
2022-07-29 16:00:00,539.3972,2022-08-18 20:30:50,0,1H
2022-07-29 17:00:00,382.42844,2022-08-18 20:30:50,0,1H
2022-08-01 08:00:00,635.2853,2022-08-18 20:30:50,0,1H
2022-08-01 09:00:00,538.3661,2022-08-18 20:30:50,0,1H
2022-08-01 10:00:00,733.2321,2022-08-18 20:30:50,0,1H
2022-08-01 11:00:00,540.87573,2022-08-18 20:30:50,0,1H
2022-08-01 12:00:00,611.4469,2022-08-18 20:30:50,0,1H
2022-08-01 13:00:00,605.34503,2022-08-18 20:30:50,0,1H
2022-08-01 14:00:00,575.6828,2022-08-18 20:30:50,0,1H
2022-08-01 15:00:00,725.148,2022-08-18 20:30:50,0,1H
2022-08-01 16:00:00,576.8351,2022-08-18 20:30:50,0,1H
2022-08-01 17:00:00,302.9993,2022-08-18 20:30:50,0,1H
2022-08-03 07:00:00,481.1155,2022-08-18 20:30:50,0,1H
2022-08-03 08:00:00,864.16437,2022-08-18 20:30:50,0,1H
2022-08-03 09:00:00,640.67145,2022-08-18 20:30:50,0,1H
2022-08-03 10:00:00,621.8873,2022-08-18 20:30:50,0,1H
2022-08-03 11:00:00,443.24347,2022-08-18 20:30:50,0,1H
2022-08-03 12:00:00,622.9203,2022-08-18 20:30:50,0,1H
2022-08-03 13:00:00,645.8297,2022-08-18 20:30:50,0,1H
2022-08-03 14:00:00,636.7832,2022-08-18 20:30:50,0,1H
2022-08-03 15:00:00,637.56573,2022-08-18 20:30:50,0,1H
2022-08-03 16:00:00,858.2767,2022-08-18 20:30:50,0,1H
2022-08-03 17:00:00,424.23105,2022-08-18 20:30:50,0,1H
2022-08-04 07:00:00,525.4473,2022-08-18 20:30:50,0,1H
2022-08-04 08:00:00,530.87823,2022-08-18 20:30:50,0,1H
2022-08-04 09:00:00,599.05066,2022-08-18 20:30:50,0,1H
2022-08-04 10:00:00,402.52856,2022-08-18 20:30:50,0,1H
2022-08-04 11:00:00,463.5266,2022-08-18 20:30:50,0,1H
